Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2014,64,Patria,"Heikki Allonen, President & CEO",Finland,"1,028.30",851.1,20.80%,"1,130.10",91.00%
2014,65,Meggitt1,"Stephen Young, CEO",UK,"1,015.40",988.9,2.70%,"2,672.10",38.00%
2014,66,Kawasaki Heavy Industries5,"Shigeru Murayama, President",Japan,"1,004.90","1,790.80",-43.90%,"14,686.10",6.80%
2014,67,Aselsan,"Faik Eken, CEO",Turkey,"1,001.40",862.4,16.10%,"1,030.80",97.10%
2014,68,GKN Aerospace1,"Marcus Bryson, CEO",UK,993.4,"1,806.60",-45.00%,"3,676.90",27.00%
2014,69,"Chemring1,6","Michael Flowers, CEO",UK,973.2,"1,133.40",-14.10%,"1,024.40",95.00%
2014,70,Samsung Techwin,"Kim Cheol-kyo, CEO",South Korea,945,990,-4.50%,"2,610.00",36.20%
2014,71,RSK MiG,"Sergey Sergeyevich Korotkov, General Director",Russia,927.2,578.2,60.40%,927.2,100.00%
2014,72,Accenture14,"Pierre -nterme, Chairman & CEO",US,888,860,3.30%,"28,562.80",3.10%
2014,73,Moog,"John Scannell, Chairman & CEO",US,861,857.1,0.50%,"2,610.00",33.00%
2014,74,Bharat Electronics10,"Sunil Kumar Sharma, Chairman & Ma-ging Director",India,853.4,956.9,-10.80%,"1,004.00",85.00%
2014,75,NEC5,"Nobuhiro Endo, President",Japan,846.9,"1,974.70",-57.10%,"32,256.90",2.60%
2014,76,Cubic6,"William Boyle, CEO",US,843.6,866.8,-2.70%,"1,361.40",62.00%
2014,77,AAR15,"David Storch, Chairman & CEO",US,839.2,930.4,-9.80%,"2,137.30",39.30%
2014,78,RTI,"Boev Sergey, General Director",Russia,819,801.8,2.20%,"2,139.60",38.30%
2014,79,Alion Science and Technology,"Bahman Atefi, Chairman & CEO",US,788.7,748.4,5.40%,849,92.90%
2014,80,Turkish Aerospace Industries,"Muharrem DÃ¶rtkasli, President & CEO",Turkey,788.4,693.4,13.70%,912.7,86.40%
2014,81,CAE,"Marc Parent, President & CEO",canada,772.4,833.5,-7.30%,"1,987.20",38.90%
2014,82,Curtiss-Wright,"David Adams, President & CEO",US,760.9,779.5,-2.40%,"2,510.80",30.30%
2014,83,Ruag1,"Urs Breitmeier, CEO",Swiss,750.8,964.6,-22.20%,"1,706.50",44.00%
2014,84,Diehl Defence Holding,"Claus GÃ¼nther, CEO",Germany,730.3,707.1,3.30%,"3,980.40",18.30%
2014,85,PAE,"John Heller, CEO",US,704.1,437,61.10%,"1,296.10",54.30%
2014,86,Ultra Electronics1,"Rakesh Sharma, CEO",UK,696.3,964.5,-27.80%,"1,221.60",57.00%
2014,87,Indra,"Javier MonzÃ³n, Chairman",Spain,678,595.5,13.90%,"3,992.90",17.00%
2014,88,Ball Aerospace & Technologies,"Robert Strain, President",US,677,603,12.30%,897,75.50%
2014,89,Wyle,"George Melton, Chairman, President & CEO",US,676.9,913.1,-25.90%,902.8,75.00%
2014,90,FLIR13,"Andrew Teich, President & CEO",US,650,690,-5.80%,"1,496.40",43.40%
2014,91,Battelle6,"Jeffrey Wadsworth, President & CEO",US,613.9,688,-10.80%,"5,600.00",11.00%
2014,92,"Jacobs Engineering6,12","Craig Martin, President & CEO",US,582.1,"1,441.30",-59.60%,"11,818.40",4.90%
2014,93,ViaSat17,"Mark Dankberg, Chairman & CEO",US,565.2,527.8,7.10%,"1,351.50",41.80%
2014,94,Israel Military Industries,"Avi Felder, President & CEO",Israel,560,520,7.70%,560,100.00%
2014,95,-vistar16,"Troy Clarke, President & CEO",US,541,"1,000.00",-45.90%,"10,775.00",5.00%
2014,96,-mmo,"Edgar Fossheim, President & CEO",Norway,529.8,595.1,-11.00%,602.1,88.00%
2014,97,Day & Zimmermann,"Harold Yoh, Chairman & CEO",US,518.80,618.40,-16.10%,"2,200.00",23.60%
2014,98,IHI5,"Tamotsu Saito, President & CEO",Japan,512,335.2,52.80%,"13,822.40",3.70%
2014,99,Mission Essential,"Peter Horvath, Chairman & CEO",US,490,797.4,-38.60%,490,100.00%
2014,100,Griffon6,"Ro-ld J. Kramer, CEO",US,426.2,397.4,7.20%,"1,871.30",22.80%
2013,1,Lockheed Martin Corporation,"Marillyn Hewson, President & CEO",US,"44,883,000,000","43,978,000,000",2.1%,"47,182,000,000",95.1%
2013,2,Boeing,"W. James McNerney, Chairman & CEO",US,"31,378,000,000","30,700,000,000",2.2%,"81,698,000,000",38.4%
2013,3,BAE,"Ian King, CEO",UK,"26,813,124,000","29,130,200,000",-8.0%,"28,255,201,000",94.9%
2013,4,Raytheon Company 1,"William Swanson, Chairman & CEO",US,"22,705,020,000","23,055,600,000",-1.5%,"24,414,000,000",93.0%
2013,5,General Dy-mics,"Phebe Novakovic, Chairman & CEO",US,"21,023,000,000","23,491,000,000",-10.5%,"31,513,000,000",66.7%
2013,6,Northrop Grumman Corporation,"Wes Bush, Chairman, President & CEO",US,"20,600,000,000","21,400,000,000",-3.7%,"25,218,000,000",81.7%
2013,7,EADS N.V.2,"Thomas Enders, CEO",Netherlands,"14,912,960,000","16,092,900,000",-7.3%,"72,636,400,000",20.5%
2013,8,Finmeccanica,"Alessandro Pansa, COO & CEO",Italy,"12,528,670,813","14,584,600,000",-14.1%,"22,135,465,942",56.6%
2013,9,United Technologies,"Louis Chenevert, Chairman & CEO",US,"12,117,000,000","11,000,000,000",10.2%,"57,700,000,000",21.0%
2013,10,L-3 Communications,"Michael Strianese, Chairman, President & CEO",US,"10,839,000,000","12,521,000,000",-13.4%,"13,146,000,000",82.5%
2013,11,Thales,"Jean-Ber-rd Levy, Chairman & CEO",France,"9,212,609,600","9,492,600,000",-2.9%,"18,255,520,000",50.5%
2013,12,SAIC3,"John Jumper, Chairman & CEO",US,"8,301,000,000","8,577,000,000",-3.2%,"11,200,000,000",74.1%
2013,13,Huntington Ingalls Industries,"Mike Petters, President & CEO",US,"6,240,300,000","6,119,400,000",2.0%,"6,710,000,000",93.0%
2013,14,Almaz-Antey,"Vladislaw Vladamirovich Menshikov, General Director",Russia,"5,754,332,670","3,552,000,000",62.0%,"6,123,996,270",94.0%
2013,15,Honeywell,"David Cote, Chairman & CEO",US,"5,100,000,000","5,300,000,000",-3.8%,"37,700,000,000",13.5%
2013,16,Rolls-Royce4,"John Rishton, CEO",UK,"5,097,979,900","4,691,500,000",8.7%,"19,347,602,300",26.3%
2013,17,Booz Allen Hamilton,"Ralph Shrader, Chairman, President & CEO",US,"4,800,000,000","4,860,000,000",-1.2%,"5,859,218,000",81.9%
2013,18,Textron Inc.,"Scott Donnelly, President & CEO",US,"4,288,000,000","4,171,000,000",2.8%,"12,237,000,000",35.0%
2013,19,Exelis,"David Melcher, President & CEO",US,"4,251,500,000","4,087,300,000",4.0%,"5,522,000,000",77.0%
2013,20,GE,"Jeffrey Immelt, Chairman & CEO",US,"4,000,000,000","3,700,000,000",8.1%,"147,359,000,000",2.7%
2013,21,Oshkosh5,Charles Szews. CEO,US,"3,947,500,000","4,365,200,000",-9.6%,"8,180,900,000",48.3%
2013,22,DCNS,"Patrick Boissier, Chairman & CEO",France,"3,766,808,000","3,647,000,000",3.3%,"3,766,808,000",100.0%
2013,23,CSC6,"Mike Lawrie, President & CEO",US,"3,687,000,000","4,498,000,000",-18.0%,"15,000,000,000",24.6%
2013,24,Russian Helicopters,"Dmitry Yevgenievich Petrov, CEO",Russia,"3,489,109,500","2,644,300,000",31.9%,"4,036,542,900",86.4%
2013,25,Safran,"Jean-Paul Herteman, Chairman & CEO",France,"3,486,547,200","3,267,300,000",6.7%,"17,432,736,000",20.0%
2013,26,URS,"Martin Koffel, CEO",US,"3,471,200,000","3,595,600,000",-3.5%,"10,972,500,000",31.6%
2013,27,Babcock Inter-tio-l1,"Peter Rogers, CEO",UK,"3,110,766,100","2,856,100,000",8.9%,"4,785,794,000",65.0%
2013,28,DynCorp Inter-tio-l,"Steven Gaffney, Chairman & CEO",US,"3,100,312,855","2,776,100,000",11.7%,"4,044,275,332",76.7%
2013,29,ATK6,"Mark DeYoung, President & CEO",US,"3,047,000,000","3,250,000,000",-6.2%,"4,362,000,000",69.9%
2013,30,Saab,"HÃ¥kan Buskhe, President & CEO",Sweden,"3,013,080,000","3,258,900,000",-7.5%,"3,546,277,000",85.0%
2013,31,Rheinmetall,"Armin Papperger, CEO",Germany,"3,001,876,000","2,980,300,000",0.7%,"6,047,462,400",49.6%
2013,32,CACI Inter-tio-l 7,"Ken Asbury, President & CEO",US,"2,944,924,000","2,858,721,000",3.0%,"3,774,473,000",78.0%
2013,33,Mitsubishi Heavy Industries8,"Hideaki Omiya, President",Japan,"2,907,630,000","3,610,000,000",-19.5%,"36,689,620,000",7.9%
2013,34,Harris7,"William Brown, President & CEO",US,"2,794,400,000","2,984,700,000",-6.4%,"5,451,300,000",51.3%
2013,35,Elbit Systems1,"Bezhalel Machlis, President & CEO",Israel,"2,744,176,650","2,676,600,000",2.5%,"2,888,607,000",95.0%
2013,36,Hewlett-Packard,"Meg Whitman, President & CEO",US,"2,668,822,143","2,235,900,000",19.4%,"119,895,000,000",2.2%
2013,37,Hindustan Aero-utics6,"Ravindra Tyagi, Chairman",India,"2,619,828,000","2,769,600,000",-5.4%,"2,619,828,000",100.0%
2013,38,Rockwell Collins9,"Clay Jones, Chairman & CEO",US,"2,591,000,000","2,813,000,000",-7.9%,"4,726,000,000",54.8%
2013,39,Israel Aerospace Industries,"Joseph Weiss, President & CEO",Israel,"2,553,000,000","2,508,000,000",1.8%,"3,338,000,000",76.5%
2013,40,Bechtel,"Craig Albert, President",US,"2,500,000,000","2,400,000,000",4.2%,"37,900,000,000",6.6%
2013,41,ManTech,"George Pederson, Chairman & CEO",US,"2,464,000,000","2,772,000,000",-11.1%,"2,582,295,000",95.4%
2013,42,General Atomics10,"J. Neal Blue, Chairman & CEO",US,"2,460,092,880","2,034,700,000",20.9%,-,-
2013,43,Aviation Holding Co. Sukhoi1,"Igor Yakovlevich Ozar, General Director",Russia,"2,270,831,040","2,479,500,000",-8.4%,"2,365,449,000",96.0%
2013,44,NEC8,"Nobuhiro Endo, President",Japan,"1,974,720,000","1,438,800,000",37.2%,"37,166,360,000",5.3%
2013,45,Serco1,"Christopher Hyman, CEO",UK,"1,946,407,775","1,900,000,000",2.4%,"7,785,631,100",25.0%
2013,46,Cobham,"Bob Murphy, CEO",UK,"1,890,547,100","1,894,400,000",-0.2%,"2,771,640,300",68.2%
2013,47,ST Engineering,"Tan Pheng Hock, President & CEO",Singapore,"1,889,148,501","1,955,200,000",-3.4%,"5,105,806,760",37.0%
2013,48,Fluor10,"David Seaton, Chairman & CEO",US,"1,865,350,392","2,735,500,000",-31.8%,"27,577,135,000",6.8%
2013,49,United Engine-Building1,"Vladislav Masalov, General Director",Russia,"1,857,627,000","1,245,900,000",49.1%,"4,128,060,000",45.0%
2013,50,GKN Aerospace,"Marcus Bryson, CEO",UK,"1,806,558,000","1,371,400,000",31.7%,"2,820,766,000",64.0%
2013,51,Kawasaki Heavy Industries8,"Shigeru Murayama, President",Japan,"1,790,800,000","2,623,800,000",-31.7%,"15,595,460,100",11.5%
2013,52,Rafael Advanced Defense Systems,"Yedidia Yaari, President & CEO",Israel,"1,781,493,200","1,979,000,000",-10.0%,"1,781,493,200",100.0%
2013,53,Mitsubishi Electric8,"Kenichiro Yamanishi, Representative Executive Officer",Japan,"1,500,400,000","1,441,300,000",4.1%,"43,161,910,000",3.5%
2013,54,DSN11,"Isao Moriyasu, President & CEO",Japan,"1,477,410,000",-,-,"2,449,850,700",60.3%
2013,55,Dassault Aviation,"Eric Trappier, Chairman & CEO",France,"1,470,726,400","1,238,900,000",18.7%,"5,066,850,430",29.0%
2013,56,Jacobs Engineering,"Craig Martin, President & CEO",US,"1,441,255,000","1,036,300,000",39.1%,"10,893,778,000",13.2%
2013,57,QinetiQ6,"Leo Quinn, CEO",UK,"1,410,383,000","1,579,300,000",-10.7%,"2,104,164,660",67.0%
2013,58,Kongsberg,"Walter Qvam, President & CEO",Norway,"1,183,165,984","1,444,300,000",-18.1%,"2,689,013,600",44.0%
2013,59,Fincantieri,"Giuseppe Bono, CEO",Italy,"1,149,837,421","1,085,900,000",5.9%,"3,066,156,000",37.5%
2013,60,Chemring5,"Mark Papworth, CEO",UK,"1,133,377,440","1,156,000,000",-2.0%,"1,172,678,000",96.6%
2013,61,Embraer,"Frederico Fleury Curado, President & CEO",Brazil,"1,068,061,654","866,800,000",23.2%,"6,259,723,947",17.1%
2013,62,Irkut,"Oleg Demchenko, President",Russia,"1,045,087,000","1,286,200,000",-18.7%,"1,530,855,000",68.3%
2013,63,Krauss-Maffei Wegmann,"Frank Haun, President & CEO",Germany,"1,028,480,000","1,308,500,000",-21.4%,"1,028,480,000",100.0%
2013,64,-vistar12,"Troy Clarke, President & CEO",US,"1,000,000,000","2,000,000,000",-50.0%,"12,948,000,000",7.7%
2013,65,Samsung Techwin,"Kim Cheol-kyo, CEO",So. Korea,"990,000,000","1,092,000,000",-9.3%,"2,700,000,000",36.7%
2013,66,Meggitt1,"Terry Twigger, CEO",UK,"988,852,800","938,800,000",5.3%,"2,535,520,000",39.0%
2013,67,Ruag1,"Ko-ad Peter, Executive Chairman",Swiss,"964,601,050","844,700,000",14.2%,"1,929,202,100",50.0%
2013,68,Ultra Electronics1,"Rakash Sharma, CEO",UK,"964,511,808","961,500,000",0.3%,"1,205,639,760",80.0%
2013,69,Bharat Electronics6,"Anil Kumar, Chairman & Ma-ging Director",India,"956,903,340","943,100,000",1.5%,"1,100,230,038",87.0%
2013,70,Nexter,"Philippe Burtin, Chairman & CEO",France,"953,850,920","1,184,600,000",-19.5%,"953,850,920",100.0%
2013,71,AAR13,"David Storch, Chairman & CEO",US,"930,409,000","962,000,000",-3.3%,"2,064,998,000",45.1%
2013,72,Wyle,"George Melton, Chairman, Presient & CEO",US,"913,134,000","829,019,802",10.1%,"1,155,866,000",79.0%
2013,73,Cubic5,"William Boyle, CEO",US,"866,800,000","869,000,000",-0.3%,"1,381,500,000",62.7%
2013,74,Aselsan,"Cengiz Ergeneman, CEO",Turkey,"862,365,671","848,400,000",1.6%,"906,584,063",95.1%
2013,75,Accenture14,"Pierre -nterme, Chairman & CEO",US,"860,000,000","758,000,000",13.5%,"27,900,000,000",3.1%
2013,76,Moog,"John Scannell, Chairman & CEO",US,"857,059,000","855,000,000",0.2%,"2,469,536,000",34.7%
2013,77,LIG Nex1,"Lee Hyo-koo, CEO",So. Korea,"856,890,000","823,500,000",4.1%,"856,890,000",100.0%
2013,78,Patria,"Heikki Allonen, President & CEO",Finland,"851,067,200","779,500,000",9.2%,"946,330,160",89.9%
2013,79,CAE,"Marc Parent, President & CEO",canada,"833,482,160","904,500,000",-7.9%,"2,102,185,050",39.6%
2013,80,RTI,"Boev Sergey, General Director",Russia,"801,754,445","718,100,000",11.6%,"2,371,786,182",33.8%
2013,81,Mission Essential,"Peter Horvath, Chairman & CEO",US,"797,400,000","718,200,000",11.0%,"797,400,000",100.0%
2013,82,Curtiss-Wright,"Martin Be-nte, Chairman & CEO",US,"779,521,000","819,900,000",-4.9%,"2,097,700,000",37.2%
2013,83,Alion Science and Technology,"Bahman Atefi, Chairman & CEO",US,"748,418,000","726,128,000",3.1%,"817,204,000",91.6%
2013,84,Diehl Defence Holding,"Claus GÃ¼nther, CEO",Germany,"707,080,000","946,600,000",-25.3%,"3,638,248,000",19.4%
2013,85,Turkish Aerospace Industries,"Muharrem DÃ¶rtka?li, President & CEO",Turkey,"693,414,284","737,847,074",-6.0%,"832,881,848",83.3%
2013,86,Battelle5,"Jeffrey Wadsworth, President & CEO",US,"688,000,000","718,900,000",-4.3%,"6,100,000,000",11.3%
2013,87,Korea Aerospace Industries,"Ha Sung-yong, CEO",So. Korea,"672,480,000","898,200,000",-25.1%,"1,377,000,000",48.8%
2013,88,FLIR,"Andrew Teich, President & CEO",US,"619,200,000","712,300,000",-13.1%,"1,405,400,000",44.1%
2013,89,Toshiba8,"Norio Sasaki, President & CEO",Japan,"608,630,000","630,000,000",-3.4%,"70,183,630,000",0.9%
2013,90,Ball Aerospace & Technologies,"Robert Strain, President",US,"603,000,000","491,200,000",22.8%,"873,300,000",69.0%
2013,91,Indra,"Javier MonzÃ³n, Chairman",Spain,"595,466,136","709,700,000",-16.1%,"3,780,923,739",15.7%
2013,92,-mmo,"Edgar Fossheim, President & CEO",Norway,"595,115,200","565,700,000",5.2%,"595,115,200",100.0%
2013,93,RSK MiG,"Sergey Sergeyevich Korotkov, General Director",Russia,"578,151,688","700,000,000",-17.4%,"578,939,261",99.9%
2013,94,ViaSat6,"Mark Dankberg, Chairman & CEO",US,"527,800,000","389,300,000",35.6%,"1,119,700,000",47.1%
2013,95,Israel Military Industries,"Avi Felder, President & CEO",Israel,"520,000,000","485,900,000",7.0%,"520,000,000",100.0%
2013,96,Denel,"Zoli Kunene, Chairman",So Africa,"434,939,200","449,751,600",-3.3%,"434,939,200",100.0%
2013,97,Fujitsu8,"Masami Yamamoto, President",Japan,"363,000,000","661,300,000",-45.1%,"53,018,570,000",0.7%
2013,98,Day & Zimmermann,"Harold Yoh, Chairman & CEO",US,"346,000,000","489,600,000",-29.3%,"2,400,000,000",14.4%
2013,99,IHI8,"Tamotsu Saito, President & CEO",Japan,"335,170,000","413,826,000",-19.0%,"15,198,192,900",2.2%
2013,100,Komatsu8,"Tetsuji Ohashi, President & CEO",Japan,"323,070,000","390,446,000",-17.3%,"22,807,290,000",1.4%
2012,1,Lockheed Martin,"Robert Stevens, Chairman and CEO",U.S.,"43,978.0","42,800.0",2.8%,"46,499.0",94.6%
2012,2,Boeing,"W. James McNerney, Chairman, President and CEO",U.S.,"30,700.0","30,858.0",-0.5%,"68,735.0",44.7%
2012,3,BAE Systems,"Ian King, CEO",U.K.,"29,130.2","33,109.5",-12%,"30,723.0",94.8%
2012,4,General Dy-mics,"Jay Johnson, Chairman and CEO",U.S.,"25,506.0","26,622.0",-4.2%,"32,677.0",78.1%
2012,5,Raytheon,"William Swanson, Chairman and CEO",U.S.,"23,055.6","23,420.2",-1.6%,"24,791.0",93%
2012,6,Northrop Grumman,"Wes Bush, Chairman, President and CEO",U.S.,"21,400.0","31,181.0",-31.4%,"26,400.0",81.1%
2012,7,EADS,"Louis Gallois, CEO",Netherlands,"16,092.9","16,286.7",-1.2%,"68,386.2",23.5%
2012,8,Finmeccanica,"Giuseppe Orsi, CEO",Italy,"14,584.6","14,442.9",1%,"24,106.8",60.5%
2012,9,L-3 Communications,"Michael Strianese, Chairman, President and CEO",U.S.,"12,521.0","13,074.0",-4.2%,"15,169.0",82.5%
2012,10,United Technologies,"Louis ChÃªnevert, President and CEO",U.S.,"11,000.0","11,600.0",-5.2%,"55,800.0",19.7%
2012,11,Thales,"Luc Vigneron, Chairman and CEO",France,"9,492.6","9,956.0",-4.7%,"18,135.0",52.3%
2012,12,SAIC,"John Jumper, President and CEO",U.S.,"8,577.0","8,677.0",-1.2%,"10,657.0",80.5%
2012,13,Huntington Ingalls,"Michael Petters, President and CEO",U.S.,"6,575.0",-,-,"6,575.0",100%
2012,14,Honeywell,"David Cote, Chairman and CEO",U.S.,"5,300.0","5,400.0",-1.9%,"36,500.0",14.5%
2012,15,Booz Allen Hamilton,"Ralph Shrader, Chairman, President and CEO",U.S.,"4,860.0","4,662.0",4.2%,"5,900.0",82.4%
2012,16,Rolls-Royce,"John Rishton, CEO",U.K.,"4,691.5","4,483.3",4.6%,"17,432.0",26.9%
2012,17,CSC8,"Michael Laphen, Chairman, President and CEO",U.S.,"4,498.0","4,502.0",-0.1%,"16,042.0",28%
2012,18,Oshkosh,"Charles Szews, President and CEO",U.S.,"4,365.2","7,161.7",-39%,"7,584.7",57.6%
2012,19,Textron,"Scott Donnelly, Chairman and CEO",U.S.,"4,171.0","3,999.5",4.3%,"11,275.0",37%
2012,20,GE,"Jeffrey Immelt, Chairman and CEO",U.S.,"4,100.0","4,100.0",0%,"147,300.0",2.8%
2012,21,ITT Exelis,"David Melcher, President and CEO",U.S.,"4,087.3",-,-,"5,839.0",70%
2012,22,DCNS,"Patrick Boissier, Chairman and CEO",France,"3,647.0","3,318.7",9.9%,"3,647.0",100%
2012,23,Mitsubishi Heavy Industries,"Hideaki Omiya, President and CEO",Japan,"3,610.0","3,039.4",18.8%,"35,261.3",10.2%
2012,24,URS,"Martin Koffel, CEO",U.S.,"3,595.6","3,736.1",-3.8%,"9,545.0",37.7%
2012,25,Almaz-Antei,"Vladislav Menshikov, director",Russia,"3,552.0","3,940.5",-9.8%,"4,188.7",84.8%
2012,26,Safran,"Jean-Paul Herteman, Chairman and CEO",France,"3,267.3","3,142.4",4%,"16,336.5",20%
2012,27,Saab,"HÃ¥kan Buskhe, CEO",Sweden,"3,258.9","3,100.0",5.1%,"3,626.7",89.9%
2012,28,ATK8,"Mark DeYoung, President and CEO",U.S.,"3,250.0","2,730.0",19%,"4,618.4",70.4%
2012,29,Harris,"William Brown, President and CEO",U.S.,"2,984.7","2,622.3",13.8%,"5,924.6",50.4%
2012,30,Rheinmetall,"Klaus Eberhardt, CEO",Germany,"2,980.3","2,664.2",11.9%,"6,200.0",48.1%
2012,31,CACI Inter-tio-l,"Paul Cofoni, President and CEO",U.S.,"2,858.7","2,450.5",16.7%,"3,577.8",79.9%
2012,32,Babcock Inter-tio-l,"Peter Rogers, CEO",U.K.,"2,856.1","2,087.1",36.8%,"4,924.3",58%
2012,33,Rockwell Collins,"Clay Jones, Chairman, President and CEO",U.S.,"2,813.0","2,900.0",-3%,"4,806.0",58.5%
2012,34,DynCorp,"Steven Gaffney, Chairman and CEO",U.S.,"2,776.1","2,623.8",5.8%,"3,721.5",74.6%
2012,35,Mantech,"George Pederson, Chairman and CEO",U.S.,"2,772.4","2,494.7",11.1%,"2,870.0",96.6%
2012,36,Hindustan Aero-utics,"Ravindra K. Tyagi, Chairman",India,"2,769.6","2,277.0",21.6%,"2,996.2",92.4%
2012,37,Fluor,"David Seaton, Chairman and CEO",U.S.,"2,735.5","1,884.2",45.2%,"23,381.4",11.7%
2012,38,Elbit Systems,"Joseph Ackerman, President and CEO",Israel,"2,676.6","2,536.6",5.5%,"2,817.5",95%
2012,39,Russian Helicopters,"Dmitry Petrov, Director",Russia,"2,644.3","1,905.4",38.8%,"3,416.4",77.4%
2012,40,Kawasaki Heavy Industries,"Satoshi Hasegawa, President",Japan,"2,623.8","1,042.7",151.6%,"16,297.2",16.1%
2012,41,Israel Aerospace Industries,"Itzhak Nissan, President and CEO",Israel,"2,508.0","2,380.0",5.4%,"3,436.0",73%
2012,42,Aviation Holding Co. Sukhoi1,"Mikhail Pogosyan, Director",Russia,"2,479.5","1,404.2",76.6%,"2,610.0",95%
2012,43,Goodrich,"Marshall Larsen, Chairman, President and CEO",U.S.,"2,424.0","2,201.0",10.1%,"8,075.0",30%
2012,44,Bechtel,"David Walker, President",U.S.,"2,400.0","2,200.0",9.1%,"32,900.0",7.3%
2012,45,Hewlett-Packard,"LÃ©o Apotheker, President and CEO",U.S.,"2,235.9",971.9,130.1%,"127,200.0",1.8%
2012,46,General Atomics,"J. Neal Blue, Chairman and CEO",U.S.,"2,034.7","1,819.6",11.8%,-,-
2012,47,-vistar,"Daniel Ustian, Chairman, Preisdent and CEO",U.S.,"2,000.0","2,151.0",-7%,"13,958.0",14.3%
2012,48,Rafael Advanced Defense Systems,"Yedidia Yaari, President and CEO",Israel,"1,979.0","1,844.8",7.3%,"1,979.0",100%
2012,49,ST Engineering,"Tan Pheng Hock, President and CEO",Singapore,"1,955.2","1,800.9",8.6%,"4,768.7",41%
2012,50,Serco,"Christopher Hyman, CEO",U.K.,"1,900.0","1,669.5",13.8%,"7,285.6",26.1%
2012,51,Cobham,"Andy Stevens, CEO",U.K.,"1,894.4","1,998.7",-5.2%,"2,974.5",63.7%
2012,52,QinetiQ,"Leo Quinn, CEO",U.K.,"1,579.3","1,921.3",-17.8%,"2,357.2",67%
2012,53,Kongsberg,"Walter Qvam, CEO",Norway,"1,444.3","1,499.8",-3.7%,"2,704.1",53.4%
2012,54,Mitsubishi Electric,"Kenichiro Yamanishi, President and CEO",Japan,"1,441.3","1,187.7",21.3%,"45,492.5",3.2%
2012,55,NEC,"Nobuhiro Endo, President (Representative Director)",Japan,"1,438.8","1,008.8",42.6%,"37,960.0",3.8%
2012,56,GKN,"Marcus Bryson, CEO",U.K.,"1,371.4","1,054.2",30.1%,"2,375.5",57.7%
2012,57,Krauss-Maffei Wegmann,"Frank Haun, President and CEO",Germany,"1,308.5","1,194.7",9.5%,"1,308.5",100%
2012,58,Irkut,"Alexei Fyodorov, President",Russia,"1,286.2","1,400.0",-8%,"1,626.0",79.1%
2012,59,United Enginebuilding,"Andrei Reus, Director",Russia,"1,245.9","1,243.7",0.2%,"3,116.7",40%
2012,60,Dassault Aviation,"Charles Edelstenne, CEO",France,"1,238.9","1,273.0",-2.7%,"4,600.6",26.9%
2012,61,Nexter,"Philippe Burtin, Chairman and CEO",France,"1,184.6","1,428.4",-17.1%,"1,184.6",100%
2012,62,Chemring,"David Price, CEO",U.K.,"1,156.0",901.1,24.4%,"1,191.8",97%
2012,63,Samsung Techwin,"Cheol Kyo Kim, CEO",South Korea,"1,092.0","1,032.0",5.8%,"2,684.5",40.7%
2012,64,Fincantieri,"Giuseppe Bono, CEO",Italy,"1,085.9",943.0,15.2%,"3,315.7",32.8%
2012,65,Jacobs Engineering,"Craig Martin, President and CEO",U.S.,"1,036.3","1,053.1",-1.6%,"10,381.7",10%
2012,66,AAR,"David Storch, Chairman and CEO",U.S.,962.0,942.4,2.1%,"1,989.5",48.4%
2012,67,Ultra Electronics,"Rakesh Sharma, CEO",U.K.,961.5,878.0,9.5%,"1,172.5",82%
2012,68,Diehl Stiftung,"Thomas Diehl, President and CEO",Germany,946.6,963.7,-1.8%,"3,793.3",25%
2012,69,Bharat Electronics,"Anil Kumar, Chairman and Ma-ging Director",India,943.1,997.7,-5.5%,"1,220.4",77.3%
2012,70,Meggitt,"Terry Twigger, CEO",U.K.,938.8,789.0,19%,"2,334.3",40.2%
2012,71,CAE,"Marc Parent, President and CEO",Canada,904.5,850.9,6.3%,"1,842.9",49.1%
2012,72,Korea Aerospace Industries,"Kim Hong Kyung, President and CEO",South Korea,898.2,854.3,5.1%,"1,169.9",76.8%
2012,73,Cubic,"Walter Zable, Chairman, President and CEO",U.S.,869.0,805.1,7.9%,"1,285.0",67.6%
2012,74,Embraer,"Frederico Fleury Curado, President and CEO",Brazil,866.8,671.3,29.1%,"5,914.8",14.7%
2012,75,Moog,"John Scannell, CEO",U.S.,855.0,837.0,2.2%,"2,331.0",36.7%
2012,76,Aselsan,"Cengiz Ergeneman, General Ma-ger",Turkey,848.4,762.2,11.3%,899.6,94.3%
2012,77,Ruag,"Ko-ad Peter, Executive Chairman",Switzerland,844.7,810.2,4.3%,"2,012.0",42%
2012,78,Wyle,"George Melton, Chairman, CEO and President",U.S.,829.0,563.5,47.1%,"1,148.5",72.2%
2012,79,LIG Nex,"Hyo Koo-Lee, CEO",South Korea,823.5,811.0,1.5%,823.5,100%
2012,80,Curtiss-Wright,"Martin Be-nte, Chairman and CEO",U.S.,819.9,784.0,4.6%,"2,017.6",40.6%
2012,81,Patria,"Heikki Allonen, CEO",Finland,779.5,658.4,18.4%,861.6,90.5%
2012,82,Accenture,"Pierre -nterme, CEO",Ireland,758.0,725.0,4.6%,"25,500.0",3%
2012,83,Turkish Aerospace Industries,"Muharrem DÃ¶rtkasli, President",Turkey,737.8,445.0,65.8%,848.7,86.9%
